id,location_id,date_id,hour,temperature,wind_direction,wind_speed,precipitation,cloud_type,is_rain,is_thunderstorm,is_snow,is_hail
1,1,1,0,7,Зх,2,1.6,сонячно,False,False,False,False
2,1,1,3,24,ПнЗх,7,1.2,сонячно,False,False,False,False
3,1,1,6,18,ПнЗх,14,1.0,частково хмарно,False,False,False,False
4,1,1,9,24,ПнЗх,4,0.9,хмарно,False,False,False,False
5,1,1,12,7,Пн,0,1.8,частково хмарно,False,False,False,False
6,1,1,15,30,Пн,15,1.1,сонячно,False,False,False,False
7,1,1,18,24,ПдСх,13,0.9,сонячно,False,False,False,False
8,1,1,21,18,Зх,5,0.8,частково хмарно,False,False,False,False
9,1,2,0,16,ПдСх,4,1.5,сонячно,False,False,False,False
10,1,2,3,23,Зх,10,0.7,сонячно,False,False,False,False
11,1,2,6,6,ПдСх,7,0.8,частково хмарно,False,False,False,False
12,1,2,9,9,ПнСх,10,1.5,частково хмарно,False,False,False,False
13,1,2,12,20,ПнЗх,3,1.4,частково хмарно,False,False,False,False
14,1,2,15,10,ПнСх,7,1.2,частково хмарно,False,False,False,False
15,1,2,18,6,Пн,7,14.5,хмарно,True,False,False,False
16,1,2,21,25,ПнСх,2,1.9,сонячно,False,False,False,False
17,1,3,0,17,ПнЗх,15,0.4,хмарно,False,False,False,False
18,1,3,3,29,ПдЗх,6,15.3,хмарно,True,True,False,False
19,1,3,6,8,Пн,1,0.9,сонячно,False,False,False,False
20,1,3,9,26,ПнЗх,2,1.1,сонячно,False,False,False,False
21,1,3,12,18,ПнЗх,13,1.4,хмарно,False,False,False,False
22,1,3,15,8,ПдСх,12,17.7,частково хмарно,True,False,False,False
23,1,3,18,14,ПнСх,8,1.6,сонячно,False,False,False,False
24,1,3,21,23,ПдСх,6,1.0,частково хмарно,False,False,False,False
25,1,4,0,19,ПнСх,13,12.6,частково хмарно,True,False,False,False
26,1,4,3,9,ПнСх,5,0.0,сонячно,False,False,False,False
27,1,4,6,24,Пд,14,1.9,сонячно,False,False,False,False
28,1,4,9,22,ПнЗх,2,1.9,сонячно,False,False,False,False
29,1,4,12,20,Сх,3,0.8,хмарно,False,False,False,False
30,1,4,15,9,Зх,5,0.5,частково хмарно,False,False,False,False
31,1,4,18,7,Сх,14,1.4,частково хмарно,False,False,False,False
32,1,4,21,25,Пд,3,0.5,сонячно,False,False,False,False
33,1,5,0,21,ПнЗх,0,10.0,хмарно,True,False,False,False
